,CLAVE,SITIO,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mgL,CALIDAD_DBO,DQO_mgL,CALIDAD_DQO,SST_mgL,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,SEMAFORO,CONTAMINANTES,,SEMAFOROO
123,DLPUE6528,ATOYAC DESPUES DE LA CONFLUENCIA DEL ZAHUAPAN,PUEBLA,CUAUTLANCINGO,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.23805,19.15785,2023,97.6,Contaminada,146.71,Contaminada,80,Aceptable,93000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Verde
124,DLPUE6529,ATOYAC ANTES DE LA CONFLUENCIA DEL ZAHUAPAN,PUEBLA,CUAUTLANCINGO,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.23858,19.15794,2023,194.5,Fuertemente contaminada,378.36,Fuertemente contaminada,180,Contaminada,23000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,E_COLI,",,Amarillo
127,DLSAN0041RNL,SITIOS OBSERVADOS EN AUDITORIA 10-016-B00-0087. TIERRA BLANCA,SAN LUIS POTOSI,TAMAZUNCHALE,RIO MOCTEZUMA,RIO MOCTEZUMA,LOTICO,RIO,-98.86863,21.24365,2023,2,Excelente,12,Buena calidad,20,Excelente,80000,Fuertemente contaminada,Amarillo,"CF,",,Verde
130,DLSAN0086RNL,RLM VASO DE LA PRESA EL REALITO,GUANAJUATO,SAN LUIS DE LA PAZ,RIO SANTA MARIA 1,PRESA EL REALITO ,LENTICO ,PRESA ,-100.2356,21.60743,2023,16.33,Aceptable,64,Contaminada,41.7,Buena calidad,12000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
132,DLSAN0088RNL,"RLM, GALERIA, PRESA EL REALITO",GUANAJUATO,SAN LUIS DE LA PAZ,RIO SANTA MARIA 1,PRESA EL REALITO ,LENTICO ,PRESA ,-100.23583,21.60659,2023,11.41,Aceptable,51,Contaminada,38.7,Buena calidad,16000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
133,DLSAN0089RNL,"RLM, OBRA DE TOMA, PRESA EL REALITO",GUANAJUATO,SAN LUIS DE LA PAZ,RIO SANTA MARIA 1,PRESA EL REALITO ,LENTICO ,PRESA ,-100.23675,21.60651,2023,6.67,Aceptable,21,Aceptable,20,Excelente,4400,Contaminada,Amarillo,"CF,",,Verde
134,DLSAN0090RNL,"RIO FLORIDO ""AGUAS ABAJO DEL SITIO DE LA MORTANDAD DE PECES""",SAN LUIS POTOSI,TAMPAMOLON CORONA,R. TAMUIN,RIO FLORIDO,LOTICO,RIO,-98.80353,21.54214,2023,8.05,Aceptable,33,Aceptable,20,Excelente,3300,Contaminada,Amarillo,"CF,",,Verde
135,DLSAN0091RNL,"RIO FLORIDO ""SITIO DONDE DETECTARON LA MORTANDAD DE PECES""",SAN LUIS POTOSI,TAMPAMOLON CORONA,R. TAMUIN,RIO FLORIDO,LOTICO,RIO,-98.80689,21.54222,2023,5.75,Buena calidad,26,Aceptable,20,Excelente,300000,Fuertemente contaminada,Amarillo,"CF,",,Amarillo
138,DLSAN0105RNL,AGUAS ARRIBA ESTACION HIDROMETRICA MICOS,SAN LUIS POTOSI,CIUDAD VALLES,R. TAMUIN,RIO EL SALTO,LOTICO,RIO,-99.16711,22.11634,2023,2,Excelente,27.2,Aceptable,20,Excelente,1100,Contaminada,Amarillo,"CF,",,Verde
139,DLSAN0106RNL,AGUAS ABAJO ESTACION HIDROMETRICA MICOS,SAN LUIS POTOSI,CIUDAD VALLES,R. TAMUIN,RIO EL SALTO,LOTICO,RIO,-99.1594,22.10966,2023,2,Excelente,27.2,Aceptable,20,Excelente,1300,Contaminada,Amarillo,"CF,",,Rojo
147,DLSAN2367,TAMUIN,SAN LUIS POTOSI,TAMUÍN,RIO MOCTEZUMA 5,RIO TAMUIN O TAMPAON,LÓTICO (HUMEDAL),RIO,-98.75941,21.99941,2023,2,Excelente,12,Buena calidad,20,Excelente,2200,Contaminada,Amarillo,"CF,OD%L,",,Verde
148,DLSAN2392,"CITROFRUT, S.A. DE C.V. (AGUAS ABAJO)",SAN LUIS POTOSI,COXCATLÁN,RIO HUICHIHUAYÁN,RIO HUICHIHUAYAN,LÓTICO,RIO,-98.95701,21.47138,2023,2,Excelente,22,Aceptable,20,Excelente,9800,Contaminada,Amarillo,"CF,",,Verde
149,DLTLA0003RNL,RIO ZAHUAPAN - DERIVADORA PANOTLA CONATLAX-2552-RZ3,TLAXCALA,SAN JUAN TOTOLAC,ALTO BALSAS,RIO ZAHUAPAN,LÓTICO,RIO,-98.262,19.3119,2023,115,Contaminada,238,Fuertemente contaminada,96.66666667,Aceptable,13200000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,",,Verde
151,DLTLA0012RNL,APORTE 1 LAGUNA CHATLAL,TLAXCALA,ZACATELCO,ALTO BALSAS,LAGUNA CHATLAL,LÉNTICO,LAGUNA,-98.24988,19.19935,2023,52.975,Contaminada,123.5,Contaminada,186.6666667,Contaminada,7025,Contaminada,Rojo,"DBO,DQO,SST,CF,",,Rojo
153,DLTLA0014RNL,CENTRO LAGUNA CHATLAL,TLAXCALA,ZACATELCO,ALTO BALSAS,LAGUNA CHATLAL,LÉNTICO,LAGUNA,-98.25029,19.19851,2023,53.82,Contaminada,100.5,Contaminada,113.3333333,Aceptable,2045,Contaminada,Rojo,"DBO,DQO,CF,",,Rojo
154,DLTLA0102RNL,PRESA EL MUERTO ZONA BUENA VISTA,TLAXCALA,TLAXCO,ALTO BALSAS,PRESA EL MUERTO,LÉNTICO,PRESA,-98.29277,19.58521,2023,34.2,Contaminada,52,Contaminada,20,Excelente,1890,Contaminada,Rojo,"DBO,DQO,CF,",,Verde
155,DLTLA0103RNL,PRESA EL MUERTO ENTRADA A JOSE M.M BUENA VISTA,TLAXCALA,TLAXCO,ALTO BALSAS,PRESA EL MUERTO,LÉNTICO,PRESA,-98.28706,19.57787,2023,37.35,Contaminada,67,Contaminada,20,Excelente,39,Excelente,Rojo,"DBO,DQO,",,Verde
