,CLAVE,SITIO,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mgL,CALIDAD_DBO,DQO_mgL,CALIDAD_DQO,SST_mgL,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,SEMAFORO,CONTAMINANTES,,SEMAFOROO
331,OCBAL2779,R5B RIO APATLACO ANTES ARROYO CHAPULTEPEC,MORELOS,CUERNAVACA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.2236,18.86339,2023,11.07,Aceptable,25.14,Aceptable,20,Excelente,46000000,Fuertemente contaminada,Amarillo,"CF,",,Verde
332,OCBAL2780,R5C RIO APATLACO DESPUES ARROYO CHAPULTEPEC,MORELOS,TEMIXCO,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.22443,18.86218,2023,10.4,Aceptable,25.14,Aceptable,20,Excelente,15000000,Fuertemente contaminada,Amarillo,"CF,",,Verde
333,OCBAL2781,R13 RIO APATLACO ANTES 9-DERIVADORA,MORELOS,JOJUTLA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.18554,18.62572,2023,2,Excelente,25.62,Aceptable,26,Buena calidad,43000,Fuertemente contaminada,Amarillo,"CF,",,Verde
335,OCBAL2783,RIO APATLACO ABAJO PTAR EL RAYO,MORELOS,TEMIXCO,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.22149,18.82796,2023,9.63,Aceptable,16.99,Buena calidad,20,Excelente,46000000,Fuertemente contaminada,Amarillo,"CF,",,Verde
336,OCBAL2784,BARRANCA PUENTE BLANCO ZAPATA,MORELOS,EMILIANO ZAPATA,RIO AMACUZAC,RIO APATLACO,LÓTICO,RIO,-99.19191,18.82961,2023,7.47,Aceptable,76.46,Contaminada,20,Excelente,1500000,Fuertemente contaminada,Rojo,"DQO,CF,",,Amarillo
337,OCBAL2786,B. GACHUPINA-LAS FUENTES,MORELOS,JIUTEPEC,RIO AMACUZAC,RIO YAUTEPEC - BARRANCA GACHUPINA,LÓTICO,RIO,-99.16509,18.87718,2023,80.4,Contaminada,110.45,Contaminada,97,Aceptable,110000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,",,Amarillo
339,OCBAL2789,"ECCACIV, S.A. DE C.V. (AGUAS ARRIBA)",MORELOS,JIUTEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO,DESCARGA,-99.16972,18.87284,2023,11.03,Aceptable,67.97,Contaminada,28,Buena calidad,12000000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
340,OCBAL2790,"ECCACIV, S.A. DE C.V. (AGUAS ABAJO)",MORELOS,JIUTEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO,DESCARGA,-99.16975,18.86674,2023,5.25,Buena calidad,16.99,Buena calidad,40,Buena calidad,150000000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
341,OCBAL2791,LAGUNA DE HUEYAPAN (EL TEXCAL) 1,MORELOS,JIUTEPEC,RIO AMACUZAC,LAGUNA DE HUEYAPAN EL TEXCAL,LÉNTICO (HUMEDAL),LAGO,-99.1503,18.89432,2023,2,Excelente,27.2,Aceptable,20,Excelente,4600,Contaminada,Amarillo,"CF,E_COLI,",,Rojo
342,OCBAL2792,LAGUNA DE HUEYAPAN (EL TEXCAL) 2,MORELOS,JIUTEPEC,RIO AMACUZAC,LAGUNA DE HUEYAPAN EL TEXCAL,LÉNTICO (HUMEDAL),LAGO,-99.15058,18.89475,2023,2,Excelente,27.2,Aceptable,20,Excelente,2100,Contaminada,Amarillo,"CF,",,Verde
343,OCBAL2793,LAGUNA DE HUEYAPAN (EL TEXCAL) 3,MORELOS,JIUTEPEC,RIO AMACUZAC,LAGUNA DE HUEYAPAN EL TEXCAL,LÉNTICO (HUMEDAL),LAGO,-99.14956,18.89522,2023,2,Excelente,27.2,Aceptable,20,Excelente,43000,Fuertemente contaminada,Amarillo,"CF,E_COLI,",,Rojo
344,OCBAL2795,BARRANCA APANQUETZALCO,MORELOS,YAUTEPEC,RIO AMACUZAC,RIO  YAUTEPEC,LÓTICO,RIO,-99.06697,18.885,2023,206.5,Fuertemente contaminada,410.26,Fuertemente contaminada,186,Contaminada,6400000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,",,Rojo
345,OCBAL2796,RIO YAUTEPEC - CENTRO,MORELOS,YAUTEPEC,RIO AMACUZAC,RIO YAUTEPEC,LÓTICO,RIO,-99.05558,18.88444,2023,2,Excelente,27.2,Aceptable,20,Excelente,21000000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
346,OCBAL2797,R3-B RIO APATLACO ANTES CARCAMO DE SAN ANTON,MORELOS,CUERNAVACA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.24481,18.92383,2023,18.85,Aceptable,48.29,Contaminada,36,Buena calidad,150000000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
347,OCBAL2799,RIO CUAUTLA - YECAPIXTLA,MORELOS,YECAPIXTLA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,RIO,-98.92222,18.8622,2023,25.5,Aceptable,90.26,Contaminada,20,Excelente,12000000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
348,OCBAL2800,BARRANCA SANTA MARIA,MORELOS,YECAPIXTLA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,RIO,-98.92513,18.84139,2023,2,Excelente,54.625,Contaminada,20,Excelente,2300000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
349,OCBAL2801,"BURLINGTON YECAPIXTLA, S.A. DE C.V. (AGUAS ARRIBA)",MORELOS,YECAPIXTLA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,DESCARGA,-98.88486,18.86391,2023,2,Excelente,27.2,Aceptable,20,Excelente,430000,Fuertemente contaminada,Amarillo,"CF,E_COLI,",,Rojo
350,OCBAL2802,"BURLINGTON YECAPIXTLA, S.A. DE C.V. (AGUAS ABAJO)",MORELOS,YECAPIXTLA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,DESCARGA,-98.88626,18.86388,2023,2,Excelente,64.44,Contaminada,20,Excelente,1500,Contaminada,Rojo,"DQO,CF,",,Rojo
351,OCBAL2805M1,BARRANCA EL HOSPITAL,MORELOS,AYALA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,RIO,-98.97451,18.76577,2023,25.1,Aceptable,58.63,Contaminada,46,Buena calidad,1200000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
352,OCBAL2806,RIO CUAUTLA - AYALA,MORELOS,AYALA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,RIO,-98.97562,18.778,2023,5.92,Buena calidad,73.85,Contaminada,48,Buena calidad,15531,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
353,OCBAL2807,R3-C RIO APATLACO DESPUES DEL CARCAMO DE SAN ANTON,MORELOS,CUERNAVACA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.24483,18.92373,2023,15,Aceptable,33.34,Aceptable,30,Buena calidad,93000000,Fuertemente contaminada,Amarillo,"CF,E_COLI,",,Rojo
354,OCBAL2808,RIO CUAUTLA-PAPAYOS,MORELOS,AYALA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,RIO,-98.9699,18.70862,2023,2,Excelente,27.2,Aceptable,20,Excelente,17329,Fuertemente contaminada,Amarillo,"CF,E_COLI,",,Rojo
355,OCBAL2811,RIO CUAUTLA - SAN VICENTE,MORELOS,AYALA,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,RIO,-99.00811,18.63652,2023,2,Excelente,21.98,Aceptable,20,Excelente,230000,Fuertemente contaminada,Amarillo,"CF,E_COLI,",,Rojo
357,OCBAL2813,PUENTE TEMIXCO,MORELOS,TEMIXCO,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.21922,18.84187,2023,9.87,Aceptable,16.39,Buena calidad,20,Excelente,9300000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
359,OCBAL2815,RIO CUAUTLA-TLAQUITENANGO,MORELOS,TLAQUILTENANGO,RIO AMACUZAC,RIO CUAUTLA,LÓTICO,RIO,-99.10768,18.54867,2023,2,Excelente,21.98,Aceptable,20,Excelente,4600,Contaminada,Amarillo,"CF,",,Rojo
361,OCBAL2817,RIO APATLACO-TLATENCHI,MORELOS,JOJUTLA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.18279,18.60982,2023,2,Excelente,43.45,Contaminada,26,Buena calidad,460000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
362,OCBAL2818,RIO YAUTEPEC ABAJO PTAR JOJUTLA,MORELOS,JOJUTLA,RIO AMACUZAC,RIO YAUTEPEC,LÓTICO,RIO,-99.18488,18.59156,2023,2,Excelente,43.45,Contaminada,20,Excelente,460000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
363,OCBAL2820,APATLACO ABAJO PTAR ZACATEPEC,MORELOS,JOJUTLA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.19535,18.63995,2023,2,Excelente,27.2,Aceptable,20,Excelente,15000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
366,OCBAL2823,APATLACO ABAJO PTAR CHIPITLAN,MORELOS,CUERNAVACA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.2273,18.87086,2023,97,Contaminada,127.44,Contaminada,33,Buena calidad,49500000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Rojo
367,OCBAL2824,R10G RIO APATLACO DESPUES ARROYO TETLAMA REPRESA,MORELOS,PUENTE DE IXTLA,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.24011,18.70103,2023,2,Excelente,16.71,Buena calidad,20,Excelente,90000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
368,OCBAL2825,RIO TETLAMA ANTES RIO APATLACO,MORELOS,PUENTE DE IXTLA,RIO AMACUZAC,RIO TETLAMA,LÓTICO A - TIPO 3,RIO,-99.24096,18.70213,2023,2,Excelente,27.2,Aceptable,20,Excelente,4300000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
369,OCBAL2826,R10E RIO APATLACO DESPUES ARROYO PALO ESCRITO,MORELOS,XOCHITEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.23383,18.76258,2023,5.65,Buena calidad,32.79,Aceptable,20,Excelente,9300000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
370,OCBAL2827M1,R10D RIO APATLACO ANTES ARROYO PALO ESCRITO M1,MORELOS,XOCHITEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.2347,18.76336,2023,4.39,Buena calidad,16.39,Buena calidad,20,Excelente,90000,Fuertemente contaminada,Amarillo,"CF,",,Verde
371,OCBAL2828,RIO APATLACO-XOCHITEPEC,MORELOS,XOCHITEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.23494,18.77504,2023,6.15,Aceptable,24.51,Aceptable,38,Buena calidad,15000000,Fuertemente contaminada,Amarillo,"CF,",,Verde
372,OCBAL2829,R9B RIO APATLACO DESPUES DE LA CASCADA REAL DEL PUENTE,MORELOS,XOCHITEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.23372,18.79025,2023,9.47,Aceptable,32.79,Aceptable,20,Excelente,24000000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
373,OCBAL2830,R9 RIO APATLACO  ANTES  DE LA CASCADA  REAL  DEL PUENTE,MORELOS,XOCHITEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.2378,18.79124,2023,6.69,Aceptable,33.42,Aceptable,20,Excelente,930000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
374,OCBAL2831M1,ARROYO PANOCHERAS AGUAS ARRIBA RIO APATLACO,MORELOS,XOCHITEPEC,RIO AMACUZAC,ARROYO PANOCHERAS,LÓTICO A - TIPO 3,RIO,-99.22682,18.80009,2023,7.83,Aceptable,21.17,Aceptable,20,Excelente,2400000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
375,OCBAL2832M1,RIO APATLACO ANTES ARROYO PANOCHERAS,MORELOS,XOCHITEPEC,RIO AMACUZAC,RIO APATLACO,LÓTICO A - TIPO 3,RIO,-99.22663,18.80023,2023,7.27,Aceptable,50.14,Contaminada,20,Excelente,1500000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
376,OCBAL2834,BARRANCA GACHUPINA ABAJO PTAR GACHUPINA,MORELOS,JIUTEPEC,RIO AMACUZAC,ARROYO GACHUPINA,LÓTICO,ARROYO,-99.16504,18.86542,2023,13.3,Aceptable,25.45,Aceptable,20,Excelente,15000000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
380,OCBAL2842,CHALMA,MORELOS,PUENTE DE IXTLA,RIO AMACUZAC,RIO CHALMA,LÓTICO,RIO,-99.33324,18.62011,2023,9.59,Aceptable,35.06,Aceptable,390,Contaminada,21000000,Fuertemente contaminada,Amarillo,"SST,CF,E_COLI,",,Rojo
381,OCBAL2843,CHALMA-TEMBEMBE (EL COCO),MORELOS,PUENTE DE IXTLA,RIO AMACUZAC,RIO CHALMA,LÓTICO,RIO,-99.31494,18.59042,2023,13.98,Aceptable,52.59,Contaminada,20,Excelente,640000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
382,OCBAL2844,BARRANCA PUENTE BLANCO ABAJO PTAR,MORELOS,XOCHITEPEC,RIO AMACUZAC,RIO SALADO,LÓTICO A - TIPO 3,RIO,-99.23193,18.765,2023,5.69,Buena calidad,16.39,Buena calidad,20,Excelente,46000000,Fuertemente contaminada,Amarillo,"CF,",,Rojo
383,OCBAL2845,PUENTE LA FUNDICION,MORELOS,JOJUTLA,RIO AMACUZAC,RIO AMACUZAC,LÓTICO,RIO,-99.26756,18.54599,2023,18.78,Aceptable,26.3,Aceptable,1444,Fuertemente contaminada,150000,Fuertemente contaminada,Amarillo,"SST,CF,E_COLI,",,Rojo
384,OCBAL2846,AMACUZAC,MORELOS,TLAQUILTENANGO,RIO AMACUZAC,RIO AMACUZAC,LÓTICO,RIO,-99.17645,18.49248,2023,2,Excelente,24.94,Aceptable,68,Buena calidad,21620,Fuertemente contaminada,Amarillo,"CF,",,Rojo
386,OCBAL2850,PRESA EL RODEO-OBRA DE TOMA,MORELOS,MIACATLÁN,RIO AMACUZAC,PRESA EL RODEO,LÉNTICO,PRESA,-99.32953,18.76496,2023,7.78,Aceptable,63.12,Contaminada,158,Contaminada,75000000,Fuertemente contaminada,Rojo,"DQO,SST,CF,E_COLI,",,Rojo
399,OCGNO0021RNL,"RIO GUAYALEJO, EJIDO FELIPE CARRILLO PUERTO",TAMAULIPAS,GONZÁLEZ,RIO GUAYALEJO 3,RIO GUAYALEJO,LÓTICO,RIO,-98.87222,22.794,2023,22.8,Aceptable,41,Contaminada,20,Excelente,2300,Contaminada,Rojo,"DQO,CF,",,Amarillo
400,OCGNO0022RNL,"RIO GUAYALEJO, EJIDO BENITO JUAREZ",TAMAULIPAS,EL MANTE,RIO GUAYALEJO 3,RIO GUAYALEJO,LÓTICO,RIO,-98.93369,22.80638,2023,74.3,Contaminada,98,Contaminada,20,Excelente,9300,Contaminada,Rojo,"DBO,DQO,CF,",,Rojo
401,OCGNO0023RNL,"EJIDO, ALIANZA AGRARIA",TAMAULIPAS,EL MANTE,RIO GUAYALEJO 3,RIO GUAYALEJO,LÓTICO,RIO,-98.9486,22.80777,2023,2,Excelente,28,Aceptable,78,Aceptable,1100,Contaminada,Amarillo,"CF,",,Rojo
407,OCLSP0007RNL,POBLACION PUENTE CLINICA IMSS AFLUENTE RIO SANTIAGO,JALISCO,PONCITLAN,RIO SANTIAGO 1,RIO SANTIAGO,LOTICO,RIO,-102.93485,20.38093,2023,45,Contaminada,122.635,Contaminada,30,Buena calidad,46000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,",,Rojo
408,OCLSP0008RNL,"RIO SANTIAGO, PUENTE BRECHA LA CONSTANCIA",JALISCO,PONCITLAN,RIO SANTIAGO 1,RIO SANTIAGO,LOTICO,RIO,-102.98379,20.40063,2023,6.8,Aceptable,58.832,Contaminada,170,Contaminada,460000,Fuertemente contaminada,Rojo,"DQO,SST,CF,",,Rojo
409,OCLSP0009RNL,RIO SANTIAGO PUENTE POBLACION TECUALTITAN,JALISCO,PONCITLAN,RIO SANTIAGO 1,RIO SANTIAGO,LOTICO,RIO,-103.02968,20.42087,2023,5.4,Buena calidad,61.262,Contaminada,90,Aceptable,4600,Contaminada,Rojo,"DQO,CF,",,Rojo
410,OCLSP0011RNL,"RIO SANTIAGO, PUENTE CARRETERO ATEQUIZA MIRAFLORES",JALISCO,JUANACATLAN,RIO SANTIAGO 1,RIO SANTIAGO,LOTICO,RIO,-103.12866,20.41294,2023,9.3,Aceptable,61.819,Contaminada,20,Excelente,750000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
411,OCLSP3701M1,ARROYO EL AHOGADO PUENTE CARRETERA A CHAPALA,JALISCO,EL SALTO,RIO SANTIAGO 1,ARROYO EL AHOGADO,LÓTICO,ARROYO,-103.29631,20.53794,2023,91.6,Contaminada,138.632,Contaminada,41,Buena calidad,11000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Rojo
412,OCLSP3703M1,RIO SANTIAGO PUENTE MATATLAN,JALISCO,TONALÁ,RIO SANTIAGO 1,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.1872,20.66806,2023,7.7,Aceptable,49.388,Contaminada,35,Buena calidad,460000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
413,OCLSP3707M1,RIO SANTIAGO LAS JUNTAS,JALISCO,GUADALAJARA,RIO SANTIAGO 1,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.27983,20.72349,2023,17.9,Aceptable,48.05,Contaminada,81,Aceptable,460000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Amarillo
414,OCLSP3708M1,RIO SANTIAGO ANTES DE P.H. AGUA PRIETA,JALISCO,ZAPOPAN,RIO SANTIAGO 2,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.32039,20.78201,2023,12.9,Aceptable,25.795,Aceptable,160.32,Contaminada,4600000,Fuertemente contaminada,Amarillo,"SST,CF,E_COLI,",,Rojo
415,OCLSP3710M1,PUENTE GUADALUPE,JALISCO,IXTLAHUACÁN DEL RIO,RIO SANTIAGO 2,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.32898,20.83915,2023,47.7,Contaminada,120.942,Contaminada,290.48,Contaminada,11000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,E_COLI,",,Rojo
416,OCLSP3715M1,DESPUES DE ARROYO DEL AHOGADO,JALISCO,JUANACATLÁN,RIO SANTIAGO 1,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.17433,20.50837,2023,39.65,Contaminada,140.8005,Contaminada,20,Excelente,6700000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Rojo
417,OCLSP3716M1,ARROYO EL AHOGADO ANTES DEL RIO SANTIAGO,JALISCO,JUANACATLÁN,RIO SANTIAGO 1,RIO SANTIAGO,LÓTICO A - TIPO 10,ARROYO,-103.21638,20.49843,2023,93.7,Contaminada,421.813,Fuertemente contaminada,67,Buena calidad,2400000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Rojo
418,OCLSP3717M1,RIO SANTIAGO PUENTE GRANDE,JALISCO,JUANACATLÁN,RIO SANTIAGO 1,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.1477,20.56956,2023,25.55,Aceptable,70.8185,Contaminada,20,Excelente,3500000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
419,OCLSP3751M1,RIO JUCHIPILA ANTES DEL RIO SANTIAGO,JALISCO,SAN CRISTÓBAL DE LA BARRANCA,RIO JUCHIPILA 2,RIO JUCHIPILA,LÓTICO,RIO,-103.42616,21.0484,2023,4.4,Buena calidad,49.271,Contaminada,3023.08,Fuertemente contaminada,46000,Fuertemente contaminada,Rojo,"DQO,SST,CF,E_COLI,",,Rojo
420,OCLSP3752M1,RIO SANTIAGO ANTES DE CONFLUENCIA JUCHIPILA,JALISCO,SAN CRISTÓBAL DE LA BARRANCA,RIO SANTIAGO 2,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.42601,21.03833,2023,10.7,Aceptable,39.075,Aceptable,92,Aceptable,4600000,Fuertemente contaminada,Amarillo,"CF,E_COLI,",,Amarillo
421,OCLSP3753M1,RIO SANTIAGO DESPUES DE CONFLUENCIA RIO JUCHIPILA,JALISCO,SAN CRISTÓBAL DE LA BARRANCA,PRESA SANTA ROSA,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.43114,21.04487,2023,4.5,Buena calidad,20.552,Aceptable,2350,Fuertemente contaminada,46000000,Fuertemente contaminada,Amarillo,"SST,CF,E_COLI,",,Amarillo
422,OCLSP3754M1,RIO SANTIAGO DESPUES DE SAN CRISTOBAL DE LA BARRANCA,JALISCO,SAN CRISTÓBAL DE LA BARRANCA,PRESA SANTA ROSA,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.4463,21.04453,2023,4.9,Buena calidad,23.45,Aceptable,1994.12,Fuertemente contaminada,11000000,Fuertemente contaminada,Amarillo,"SST,CF,E_COLI,",,Rojo
423,OCLSP3755M1,RIO CUIXTLA ANTES DEL RIO SANTIAGO,JALISCO,SAN CRISTÓBAL DE LA BARRANCA,PRESA SANTA ROSA,RIO CUIXTLA,LÓTICO,RIO,-103.43317,21.0475,2023,2,Excelente,27.2,Aceptable,20,Excelente,4600,Contaminada,Amarillo,"CF,E_COLI,",,Rojo
424,OCLSP3764M1,RIO BOLAÑOS PUENTE EN SAN MARTIN DE BOLAÑOS,JALISCO,SAN MARTÍN DE BOLAÑOS,RIO BOLAÑOS 2,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.81025,21.68051,2023,3.3,Buena calidad,25.776,Aceptable,274,Contaminada,240000,Fuertemente contaminada,Amarillo,"SST,CF,E_COLI,",,Rojo
425,OCLSP3808M1,RIO LERMA EN MALTARAÑA,JALISCO,JAMAY,RIO LERMA 7,RIO LERMA,LÓTICO A - TIPO 9,RIO,-102.68716,20.2295,2023,6,Buena calidad,26.754,Aceptable,295.56,Contaminada,460000,Fuertemente contaminada,Amarillo,"SST,CF,E_COLI,",,Rojo
426,OCLSP3815M2,ARROYO LA LAJA ANTES DEL RIO SANTIAGO,JALISCO,ZAPOTLANEJO,RIO SANTIAGO 1,ARROYO LA LAJA,LÓTICO,ARROYO,-103.13604,20.58776,2023,130,Fuertemente contaminada,216.453,Fuertemente contaminada,82.86,Aceptable,4600000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,E_COLI,",,Rojo
427,OCLSP3833M1,RIO SANTIAGO EN CUITZEO,JALISCO,OCOTLÁN,RIO LERMA 7,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-102.78582,20.32358,2023,11.5,Aceptable,99.4885,Contaminada,207.84,Contaminada,267.5,Aceptable,Rojo,"DQO,SST,",,Rojo
428,OCLSP3837M1,PRESA PONCITLAN,JALISCO,PONCITLÁN,RIO SANTIAGO 1,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-102.92201,20.38517,2023,4.7,Buena calidad,51.8745,Contaminada,32.5,Buena calidad,253000,Fuertemente contaminada,Rojo,"DQO,CF,E_COLI,",,Rojo
429,OCLSP3840M1,PRESA DERIVADORA CORONA,JALISCO,CHAPALA,RIO SANTIAGO 1,RIO SANTIAGO,LÓTICO A - TIPO 10,RIO,-103.09157,20.4001,2023,3.8,Buena calidad,36.1865,Aceptable,20,Excelente,25300,Fuertemente contaminada,Amarillo,"CF,E_COLI,",,Rojo
430,OCPBC0020RNL,ARROYO Y CALLE AMBAR,BAJA CALIFORNIA,ENSENADA,ENSENADA- EL GALLO,ARROYO DOÑA PETRA,LOTICO,ARROYO,-116.61652,31.88228,2023,21,Aceptable,79,Contaminada,20,Excelente,1500000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
433,OCPBC4297,PTAR NOROESTE AGUAS ABAJO,BAJA CALIFORNIA,ENSENADA,ENSENADA-EL GALLO,ARROYO DOÑA PETRA,LÓTICO,ARROYO,-116.60351,31.90947,2023,54.4,Contaminada,380,Fuertemente contaminada,100,Aceptable,4600000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,OD%L,",,Rojo
436,OCPBC4375,PRESA DERIVADORA MORELOS,BAJA CALIFORNIA,MEXICALI,RIO COLORADO,PRESA DERIVADORA MORELOS (CANAL REFORMA),LÓTICO (HUMEDAL),CANAL,-114.73056,32.70583,2023,2,Excelente,42.5,Contaminada,20,Excelente,68,Excelente,Rojo,"DQO,",,Rojo
438,OCPBC4396,DREN COLECTOR DEL NORTE,BAJA CALIFORNIA,MEXICALI,RIO COLORADO,DREN COLECTOR DEL NORTE,LÓTICO,DREN,-115.42747,32.57353,2023,30,Aceptable,58.9,Contaminada,46,Buena calidad,460,Aceptable,Rojo,"DQO,",,Rojo
439,OCPBC4399W1,LAGUNA XOCHIMILCO,BAJA CALIFORNIA,MEXICALI,RIO COLORADO,LAGUNA XOCHIMILCO,LÉNTICO,LAGUNA,-115.4474,32.60486,2023,11.7,Aceptable,75,Contaminada,27,Buena calidad,240,Aceptable,Rojo,"DQO,OD%L,",,Rojo
440,OCPBC4400,DREN MEXICALI (RIO NUEVO),BAJA CALIFORNIA,MEXICALI,RIO COLORADO,DREN MEXICALI,LÓTICO,DREN,-115.44519,32.60576,2023,11.1,Aceptable,78,Contaminada,20,Excelente,43,Excelente,Rojo,"DQO,",,Rojo
441,OCPBC4407,SALIDA LAGUNA MEXICO,BAJA CALIFORNIA,MEXICALI,RIO COLORADO,LAGUNA MÉXICO,LÓTICO,DREN,-115.46003,32.59525,2023,23.7,Aceptable,54.1,Contaminada,32,Buena calidad,75,Excelente,Rojo,"DQO,",,Rojo
442,OCPBC4410,DREN XOCHIMILCO,BAJA CALIFORNIA,MEXICALI,RIO COLORADO,DREN XOCHIMILCO,LÓTICO,DREN,-115.46024,32.57276,2023,28,Aceptable,81.2,Contaminada,66,Buena calidad,43,Excelente,Rojo,"DQO,",,Rojo
443,OCPBC4423,PUENTE MADERO (RIO NUEVO),BAJA CALIFORNIA,MEXICALI,RIO COLORADO,RIO NUEVO,LÓTICO,RIO,-115.49845,32.66399,2023,7.1,Aceptable,74,Contaminada,20,Excelente,24000,Fuertemente contaminada,Rojo,"DQO,CF,",,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Rojo
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Verde
,,,,,,,,,,,,,,,,,,,,,,,Amarillo
